DN,T0F0D0,T0F1D0,T0F2D0,T0F3D0,T0F4D0,T0F5D0,T0F6D0,T0F7D0,T0F8D0,T0F9D0,T0F0D1,T0F1D1,T0F2D1,T0F3D1,T0F4D1,T0F5D1,T0F6D1,T0F7D1,T0F8D1,T0F9D1,T0F10D0,T0F10D1,T0F11D0,T0F11D1,T0F12D0,T0F12D1
546901,381,658,667,1190,1972,2167,2401,2594,2524,1718,476,667,914,1250,1637,1842,2093,2255,2831,2071,565,392,24,149,5730,5559
547957,464,691,812,1189,1789,2010,2112,2319,2595,1811,463,662,825,1159,1662,1859,1960,2176,2676,1876,443,407,103,155,5477,5315
547989,439,674,745,1170,1869,2102,2213,2428,2507,1710,456,652,835,1161,1625,1853,1962,2180,2700,1925,490,402,65,159,5538,5331
548357,551,822,982,1371,1962,2185,2282,2477,2724,1914,546,809,1020,1363,1867,2068,2165,2390,2815,1987,398,359,88,130,5908,5824
548841,411,593,695,999,1665,1945,2027,2249,2367,1691,396,559,698,968,1555,1816,1891,2129,2412,1760,489,462,76,119,5130,4975
549136,471,693,836,1165,1753,1985,2095,2307,2604,1872,457,661,825,1131,1670,1888,1985,2199,2635,1889,432,416,108,140,5465,5324
549229,433,620,728,1038,1653,1877,1993,2190,2482,1799,421,591,729,1010,1505,1726,1829,2038,2558,1878,464,429,109,166,5163,4992
549778,485,729,844,1207,1931,2209,2307,2516,2546,1793,463,698,824,1173,1844,2110,2203,2423,2573,1808,465,457,49,77,5755,5607
550091,425,678,704,1182,1951,2119,2258,2464,2524,1687,388,643,673,1130,1790,1952,2072,2334,2506,1738,524,509,55,94,5587,5324
550672,565,839,1016,1290,1930,2148,2322,2494,2601,1819,540,822,1007,1250,1851,2062,2191,2387,2602,1824,395,377,56,85,5814,5648
550910,482,706,853,1194,1741,1949,2034,2262,2584,1832,467,662,846,1120,1601,1808,1878,2084,2643,1881,411,380,119,169,5390,5186
550982,431,638,728,1153,1877,2102,2187,2374,2480,1683,379,604,666,1162,1738,1966,1943,2237,2493,1704,500,489,62,123,5458,5204
551073,481,669,872,1188,1662,1870,1891,2172,2855,2160,475,644,843,1137,1583,1768,1779,2083,2895,2193,368,356,203,238,5502,5387
551192,427,643,697,1103,1729,1995,2135,2262,2503,1731,396,602,663,1037,1633,1849,1950,2113,2539,1782,505,491,80,132,5314,5102
551504,465,702,812,1192,1863,2088,2213,2378,2576,1741,451,666,788,1152,1721,1928,2050,2220,2588,1772,462,444,76,116,5559,5321
551708,451,644,769,1134,1698,1927,2035,2218,2615,1849,437,624,772,1097,1607,1829,1907,2135,2667,1882,445,419,128,168,5346,5224
551709,451,634,787,1089,1587,1794,1873,2111,2660,1987,437,612,776,1070,1518,1705,1785,2029,2707,2003,405,392,174,205,5221,5126
552200,449,669,768,1156,1795,2036,2230,2357,2650,1790,432,639,771,1104,1697,1894,2073,2235,2696,1829,487,457,86,130,5544,5368
552497,496,722,920,1228,1717,1939,2073,2250,2712,1896,493,707,931,1194,1635,1847,1973,2162,2796,1971,385,358,133,172,5492,5423
553067,440,665,681,1079,1766,2074,2362,2345,2521,1761,403,626,666,1022,1662,1854,2132,2136,2565,1814,552,523,32,92,5497,5217
553242,390,574,654,1060,1591,1801,1901,2107,2467,1644,370,541,651,1021,1482,1661,1742,1990,2551,1745,488,456,129,188,4967,4840
