DN,T0F0D0,T0F1D0,T0F2D0,T0F3D0,T0F4D0,T0F5D0,T0F6D0,T0F7D0,T0F8D0,T0F9D0,T0F0D1,T0F1D1,T0F2D1,T0F3D1,T0F4D1,T0F5D1,T0F6D1,T0F7D1,T0F8D1,T0F9D1,T0F10D0,T0F10D1,T0F11D0,T0F11D1,T0F12D0,T0F12D1
539275,393,595,670,1024,1779,2048,2057,2327,2160,1384,376,559,663,967,1643,1866,1891,2150,2202,1425,511,485,22,73,5077,4823
539749,363,643,604,1154,2153,2436,2661,2765,2359,1492,379,609,631,1100,1922,2184,2378,2514,2459,1589,629,579,-59,16,5947,5582
539998,283,464,427,862,1876,2198,2378,2484,1796,1050,267,426,422,825,1689,2020,2176,2303,1833,1085,692,673,-135,-81,5098,4788
540210,368,607,571,1108,2105,2365,2513,2726,2322,1476,365,581,579,1059,1893,2168,2320,2490,2377,1515,621,595,-34,15,5791,5462
540320,321,564,491,1060,2315,2655,2735,2975,2168,1243,298,515,481,1000,2064,2403,2454,2688,2211,1281,691,670,-113,-50,6078,5612
540498,367,608,601,1106,2056,2317,2426,2700,2261,1347,372,575,622,1045,1815,2073,2197,2425,2430,1515,598,555,-33,51,5660,5355
540697,406,633,656,1104,1937,2200,2259,2540,2340,1463,413,613,720,1060,1684,1931,1973,2267,2548,1682,550,465,17,127,5490,5215
540818,299,419,488,884,1738,2111,1622,2375,2027,1237,300,423,509,863,1584,1904,1532,2223,2107,1320,557,532,109,162,4781,4589
541266,384,640,619,1156,2548,2964,2989,3303,2294,1365,357,604,616,1109,2356,2709,2764,3100,2317,1384,652,632,-128,-85,6686,6298
541301,323,551,491,1024,2146,2437,2741,2792,2223,1391,306,515,494,996,1946,2142,2440,2544,2324,1466,686,653,-97,-18,5886,5490
541342,356,546,589,1008,1856,2119,2185,2421,2131,1331,330,504,562,947,1690,1930,1999,2243,2165,1359,567,554,-6,45,5198,4906
541742,464,716,778,1181,2122,2312,2441,2734,2444,1658,440,668,736,1115,1941,2211,2262,2553,2438,1627,515,507,1,38,5897,5599
541948,489,735,846,1219,2017,2341,2262,2717,2551,1844,477,700,817,1173,1923,2297,2172,2526,2610,1883,455,452,59,91,5919,5769
542110,408,652,655,1176,1920,2210,2387,2432,2518,1738,388,603,659,1125,1752,2033,2191,2258,2579,1756,567,535,28,82,5657,5394
542140,331,590,520,1117,2449,2865,3109,3182,2257,1310,324,574,542,1078,2275,2683,2906,3011,2273,1331,702,668,-149,-108,6564,6257
542395,293,581,402,1121,3007,3519,4046,3832,2246,1202,288,563,412,1119,2820,3352,3835,3669,2267,1233,813,799,-279,-250,7811,7487
542437,272,551,362,1107,3377,4004,4383,4437,2168,1133,272,547,407,1130,3211,3806,4161,4255,2187,1159,845,816,-335,-306,8614,8270
542602,509,725,910,1202,1835,2080,2111,2407,2654,1930,520,715,945,1154,1764,1966,2028,2280,2702,2006,394,359,115,145,5643,5542
542745,542,757,991,1216,1808,2042,2156,2423,2679,1989,572,765,1034,1172,1753,1954,2032,2280,2744,2083,370,325,108,148,5696,5610
542828,410,630,662,1092,2262,2593,2603,2951,2242,1391,395,614,661,1039,2143,2454,2454,2797,2291,1453,591,574,-73,-37,6070,5857
